Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC2,06/08/16,Alloa,Peterhead,4,0,H,3,0,H,2.05,3.6,3.4,2.2,3.4,2.75,2,3.35,3.15,2.05,3.5,3.4,2.08,3.79,3.51,2.25,3.5,3.1,2.1,3.6,3.4,49,2.25,2.07,3.79,3.46,3.51,3.18,26,1.85,1.77,2.05,1.96,24,-0.25,1.86,1.82,2.08,1.99,2.14,3.69,3.42
SC2,06/08/16,Brechin,Stenhousemuir,2,1,H,1,0,H,2,3.75,3.4,2,3.5,3.1,1.9,3.4,3.4,1.95,3.5,3.6,1.99,3.69,3.89,2,3.6,3.6,2,3.6,3.7,49,2.05,1.96,3.75,3.46,3.89,3.49,32,1.9,1.82,2.01,1.93,23,-0.25,1.75,1.71,2.22,2.13,2,3.98,3.59
SC2,06/08/16,East Fife,Albion Rvs,2,2,D,2,1,H,1.95,4,3.3,2,3.4,3.2,1.95,3.4,3.3,2,3.5,3.5,2.08,3.67,3.62,2.05,3.75,3.3,2.05,3.6,3.5,49,2.08,2,4,3.5,3.62,3.3,26,1.85,1.77,2.05,1.96,23,-0.25,1.79,1.76,2.16,2.07,2.04,3.62,3.79
SC2,06/08/16,Livingston,Stranraer,5,1,H,2,0,H,2.2,3.6,3,2.25,3.5,2.6,2.2,3.3,2.85,2.25,3.4,3,2.29,3.57,3.19,2.3,3.5,2.9,2.3,3.5,3,49,2.33,2.24,3.6,3.4,3.19,2.88,32,1.96,1.86,1.99,1.88,24,-0.25,2.05,1.98,1.88,1.82,2.12,3.7,3.47
SC2,06/08/16,Queens Park,Airdrie Utd,1,3,A,0,1,A,2.63,3.75,2.4,2.55,3.4,2.35,2.5,3.35,2.4,2.62,3.3,2.5,2.74,3.51,2.63,2.62,3.3,2.62,2.63,3.5,2.6,49,2.74,2.57,3.75,3.35,2.63,2.49,26,1.85,1.78,2.02,1.95,25,0,1.99,1.92,1.95,1.88,2.64,3.45,2.77
SC2,13/08/16,Airdrie Utd,Livingston,2,4,A,0,2,A,2.8,3.8,2.25,2.6,3.5,2.3,2.8,3.35,2.2,2.9,3.5,2.3,3.17,3.7,2.25,3,3.9,2.1,3,3.6,2.3,55,3.17,2.9,3.9,3.45,2.38,2.22,39,1.77,1.7,2.15,2.05,28,0.25,1.92,1.85,2.05,1.95,3.01,3.72,2.33
SC2,13/08/16,Albion Rvs,Brechin,0,2,A,0,1,A,2.2,3.5,3.1,2.25,3.4,2.7,2.2,3.2,2.95,2.3,3.3,3.1,2.35,3.45,3.19,2.3,3.3,3.1,2.2,3.6,3.1,56,2.37,2.23,3.7,3.28,3.2,3,43,2.03,1.91,2.05,1.82,29,-0.25,2.02,1.95,1.92,1.84,2.26,3.46,3.34
SC2,13/08/16,Peterhead,East Fife,0,3,A,0,2,A,2.1,3.8,3.1,1.9,3.4,3.5,1.95,3.4,3.25,2.1,3.5,3.3,2.1,3.72,3.51,2.15,3.5,3.25,2.05,3.7,3.4,56,2.15,2.03,3.9,3.45,3.75,3.28,39,1.79,1.72,2.13,2.02,28,-0.5,2.16,2.07,1.81,1.73,1.85,4.03,4.14
SC2,13/08/16,Stenhousemuir,Queens Park,1,2,A,1,0,H,2.38,3.5,2.8,2.1,3.4,2.95,2.25,3.35,2.7,2.4,3.4,2.8,2.51,3.55,2.86,2.2,3.5,3.1,2.4,3.6,2.8,54,2.51,2.32,3.8,3.38,3.1,2.78,37,1.81,1.71,2.2,2.03,27,-0.25,2.17,2.06,1.81,1.75,2.5,3.54,2.86
SC2,13/08/16,Stranraer,Alloa,2,5,A,1,5,A,2.5,3.75,2.5,2.45,3.4,2.45,2.55,3.3,2.4,2.62,3.5,2.5,2.62,3.6,2.7,2.6,3.4,2.6,2.8,3.75,2.38,56,2.95,2.63,3.75,3.34,2.7,2.47,40,1.77,1.71,2.18,2.04,26,0,2,1.91,1.98,1.86,2.93,3.54,2.46
